titulo;texto;data;fonte;categoria
Cupula do G7 discute sancoes a Russia;Lideres dos paises mais industrializados debatem novo pacote de medidas punitivas em resposta a invasao da Ucrania.;2024-02-14;DW;diplomacia
Rebeldes avancam sobre capital;Forcas insurgentes tomam controle de cidade estrategica a 80 km da capital forcando evacuacao de civis.;2024-02-13;Al Jazeera;conflito
Banco Mundial aprova emprestimo bilionario;Instituicao libera 3 bilhoes de dolares para reconstrucao de infraestrutura em paises afetados por conflitos recentes.;2024-02-12;Bloomberg;economia
Embaixador e expulso em retaliacao diplomatica;Pais expulsa representante diplomatico adversario apos acusacoes de espionagem gerando crise bilateral.;2024-02-11;AFP;diplomacia
Atentado terrorista mata dezenas;Explosao em mercado popular deixa 47 mortos e mais de 100 feridos. Grupo extremista assume responsabilidade.;2024-02-10;BBC;conflito
Taxa de desemprego cai em paises emergentes;Dados divulgados pelo FMI mostram queda na desocupacao na America Latina impulsionada por exportacoes agricolas.;2024-02-09;Reuters;economia
Paises nordicos reforcam cooperacao na OTAN;Finlandia e Suecia recentemente admitidas na alianca anunciam exercicios militares conjuntos com Noruega e Dinamarca.;2024-02-08;Euronews;diplomacia
Submarino nuclear provoca tensao internacional;Passagem de submarino de potencia rival por aguas territoriais disputadas eleva alerta militar da regiao.;2024-02-07;Guardian;conflito
Bolsa de valores de Sao Paulo bate recorde;Ibovespa supera 140 mil pontos pelo segundo dia consecutivo puxado por acoes de commodities e bancos.;2024-02-06;Valor;economia
Acordo de paz mediado pela ONU;Mediacao da ONU resulta em cessar-fogo entre faccoes rivais. Acordo preve eleicoes gerais em doze meses.;2024-02-05;ONU News;diplomacia
Nova ofensiva militar iniciada no inverno;Exercito lanca campanha em territorio adversario aproveitando condicoes de terreno favoraveis. Civis fogem para zonas seguras.;2024-01-28;AP;conflito
Mercados iniciam ano com otimismo cauteloso;Principais indices globais sobem na primeira semana do ano impulsionados por expectativas de corte de juros nos EUA.;2024-01-25;Bloomberg;economia
Recessao tecnica na Alemanha preocupa zona do euro;PIB alemao recua pelo segundo trimestre consecutivo levantando alerta para economia europeia em 2024.;2024-01-22;DW;economia
Negociacoes sobre desnuclearizacao retomadas em Seul;Representantes de seis nacoes se reunem pela primeira vez em tres anos para discutir programa nuclear da Coreia do Norte.;2024-01-15;Reuters;diplomacia
Ataque de drones atinge refinaria estrategica;Explosoes destruiram parte da capacidade de producao gerando preocupacao com abastecimento regional de combustivel.;2024-01-12;Al Jazeera;conflito
Acordo climatico firmado em conferencia de Paris;Noventa e dois paises assinam compromissos de reducao de emissoes mais ambiciosos que os estabelecidos em 2015.;2024-01-08;Le Monde;diplomacia
Combates intensos na fronteira leste;Artilharia pesada bombardeia posicoes adversarias ao longo de frente de batalha de 200 km. Baixas crescentes dos dois lados.;2023-12-28;BBC;conflito
Chanceler realiza gira diplomatica pela Asia;Ministro das relacoes exteriores visita Toquio e Seul para reforcar aliancas estrategicas e debater seguranca regional.;2023-12-22;AFP;diplomacia
Banco Central dos EUA sinaliza pausa nos juros;Federal Reserve indica que ciclo de alta de juros chegou ao fim apos inflacao recuar para patamar proximo da meta.;2023-12-15;Financial Times;economia
UE aprova novo pacote de ajuda humanitaria;Bloco europeu destina dois bilhoes de euros para assistencia a populacoes afetadas por conflitos ativos na Africa e Asia.;2023-12-14;Euronews;diplomacia
Crescimento da India supera China em 2023;Dados do FMI confirmam que a India cresceu 6.7% enquanto China desacelerou para 5.2% no ano encerrado em dezembro.;2023-12-10;Reuters;economia
Rebeldes capturam posto de fronteira estrategico;Grupo armado toma controle de passagem importante apos 48 horas de combates. Governo declara estado de emergencia.;2023-11-30;Al Jazeera;conflito
Deficit fiscal preocupa investidores em mercados emergentes;Deterioracao das contas publicas em varios paises em desenvolvimento provoca saida de capital e depreciacao cambial.;2023-11-22;Bloomberg;economia
Forum de paz reune chanceleres de 30 nacoes;Conferencia internacional busca construir arcabouco diplomatico para resolucao de conflitos regionais persistentes.;2023-11-10;ONU News;diplomacia
Campanha aerea intensifica destruicao de infraestrutura;Ataques aereos sistematicos visam pontes e estradas em tentativa de isolar forcas adversarias. ONU condena bombardeios.;2023-11-06;Guardian;conflito
Acordo de transicao politica mediado pela Uniao Africana;Partes conflitantes assinam roteiro para governo de unidade nacional supervisionado por observadores internacionais.;2023-10-28;AFP;diplomacia
Bolsa americana registra maior queda em meses;Dow Jones perde 2.3% em sessao turbulenta com investidores assustados por dados de inflacao acima do esperado.;2023-10-20;WSJ;economia
Acordo historico normaliza relacoes entre paises arabes;Dois Estados que permaneceram em conflito diplomatico por decadas retomam relacoes plenas com mediacao de potencia regional.;2023-10-05;Al Jazeera;diplomacia
Conflito em regiao fronteirica eleva tensoes continentais;Escaramucas entre tropas de dois paises vizinhos resultam em mortos e ameacam estabilidade de toda a regiao.;2023-09-28;Reuters;conflito
Assembleia Geral da ONU debate crise climatica e seguranca;Chefes de Estado discutem nexo entre mudancas climaticas e conflitos armados em sessao especial em Nova York.;2023-09-18;ONU News;diplomacia
OCDE revisa para baixo previsoes de crescimento global;Organizacao aponta desaceleracao em economias avancadas causada por juros elevados e reducao do comercio internacional.;2023-09-15;OCDE;economia
Cidade sitiada aguarda ajuda humanitaria;Populacao civil presa em area de combate enfrenta escassez de alimentos e medicamentos. Corredor humanitario negociado.;2023-09-08;ACNUR;conflito
Exportacoes brasileiras atingem recorde historico;Balanca comercial fecha semestre com superavit de 53 bilhoes de dolares impulsionado por soja petroleo e minerio de ferro.;2023-08-31;Valor;economia
Cimeira BRICS debate nova ordem economica mundial;Lideres do bloco discutem criacao de moeda comum e reducao da dependencia do dolar em transacoes internacionais.;2023-08-22;DW;diplomacia
Exercito avanca em territorio controlado por rebeldes;Operacao militar recupera cidades perdidas ha meses enquanto forcas governamentais contam com apoio de aliados externos.;2023-08-18;BBC;conflito
Yuan se deprecia gerando alerta cambial global;Banco central chines intervem no mercado para conter queda da moeda apos dados economicos decepcionantes.;2023-08-14;Nikkei;economia
Pais africano expulsa embaixador europeu;Governo declara persona non grata o diplomatico apos declaracoes consideradas interferencia nos assuntos internos do pais.;2023-08-05;AFP;diplomacia
Grupo terrorista reivindica ataque a mercado;Explosao em area movimentada deixa dezenas de vitimas. Autoridades reforcam seguranca em pontos vulneraveis das cidades.;2023-07-25;Al Jazeera;conflito
Mercado de trabalho nos EUA permanece aquecido;Payroll registra criacao de 250 mil vagas em julho contrariando expectativas e complicando decisoes do Federal Reserve.;2023-07-20;Reuters;economia
Negociacoes de paz reiniciam em pais neutro;Delegacoes das partes em conflito chegam a cidade suica para nova rodada de conversas mediadas por diplomatas da ONU.;2023-07-12;BBC;diplomacia
Bombardeio atinge hospital em zona de guerra;Ataque aereo destruiu ala de emergencia de hospital civil. Organizacoes humanitarias exigem investigacao independente.;2023-07-05;Guardian;conflito
Acordo de graos renova esperanca na diplomacia;Paises mediadores conseguem prorrogacao de pacto que permite exportacao de cereais por corredor seguro no Mar Negro.;2023-06-28;Reuters;diplomacia
Investimentos em energia renovavel batem recorde;Setor de energia limpa recebe 358 bilhoes de dolares no primeiro semestre superando investimentos em combustiveis fosseis.;2023-06-22;Financial Times;economia
Crescimento do PIB surpreende positivamente analistas;Economia da zona do euro cresce 0.6% no trimestre acima das projecoes graças a consumo interno e exportacoes.;2023-06-10;Bloomberg;economia
Alianca militar amplia numero de membros;Dois novos paises sao admitidos na alianca defensiva regional em cerimonia na sede da organizacao. Russia protesta formalmente.;2023-06-08;DW;diplomacia
Batalha naval em estreito disputado eleva alerta global;Embarcacoes militares de duas potencias rivais se confrontam em area de aguas internacionais gerando crise diplomatica.;2023-05-30;AP;conflito
India media conversa entre partes em conflito;Nova Delhi assume papel de mediador em negociacoes entre dois paises africanos que enfrentam conflito armado de baixa intensidade.;2023-05-24;Hindustan Times;diplomacia
ONU aprova resolucao sobre direitos humanos em zonas de guerra;Conselho de Seguranca aprova texto que amplia protecao de civis em conflitos. EUA e Russia se abstiveram na votacao.;2023-05-18;ONU News;diplomacia
Commodities agricolas disparam por estiagem severa;Seca em grandes regioes produtoras eleva precos do trigo milho e soja no mercado internacional com impacto na inflacao global.;2023-05-10;Bloomberg;economia
Conflito armado deixa centenas de mortos em uma semana;Novos confrontos entre grupos armados rivais causam devastacao em area rural. Cruz Vermelha pede acesso humanitario urgente.;2023-05-02;ICRC;conflito
Desemprego na Europa cai para minimas historicas;Taxa de desocupacao na zona do euro atinge 6.5% o menor nivel desde criacao do bloco impulsionada por recuperacao do setor de servicos.;2023-04-28;Euronews;economia
EUA e Russia retomam canal de comunicacao diplomatico;Embaixadores se reunem pela primeira vez em um ano em encontro descrito como preliminar e sem agenda definida.;2023-04-20;AP;diplomacia
Euro se fortalece frente ao dolar americano;Moeda europeia sobe para maior patamar em oito meses com mercados apostando em divergencia de politica monetaria entre os bancos centrais.;2023-04-14;Financial Times;economia
Tropas cruzam linha de cessar-fogo estabelecida;Incidente militar na fronteira ameaca acordo de paz fragil mediado ha seis meses. Monitores internacionais exigem retirada imediata.;2023-04-08;BBC;conflito
Tratado de livre comercio entra em vigor entre blocos;Acordo entre duas grandes regioes economicas elimina tarifas sobre 90% dos produtos comercializados e cria zona de investimentos.;2023-04-02;Reuters;diplomacia
Crise bancaria nos EUA abala mercados globais;Colapso de bancos regionais americanos gera pânico nos mercados com investidores temendo contaminacao do sistema financeiro internacional.;2023-03-28;WSJ;economia
Drone derruba comboio de suprimentos militares;Ataque com veiculo aereo nao tripulado destruiu varios veiculos blindados em estrada estrategica. Tecnologia de guerra moderna redefine conflito.;2023-03-20;Guardian;conflito
Cupula clima reune lideres em Bruxelas;Chefes de Estado europeus debatem metas de descarbonizacao e financiamento da transicao energetica para paises em desenvolvimento.;2023-03-15;Euronews;diplomacia
Banco central eleva juros para conter pressao inflacionaria;Autoridade monetaria aumenta taxa basica em 0.5 ponto percentual na tentativa de ancorar expectativas de inflacao.;2023-03-10;Bloomberg;economia
Ofensiva militar avanca no sul do pais;Forcas governamentais retomam controle de cidades importantes em campanha que dura tres semanas com apoio de artilharia pesada.;2023-02-22;Al Jazeera;conflito
Um ano de conflito: diplomatas buscam saida negociada;Aniversario do inicio da guerra e marcado por nova rodada de negociacoes mediadas por paises neutros sem perspectiva clara de acordo.;2023-02-24;DW;diplomacia
China retoma exportacoes em grande escala apos fim dos lockdowns;Retorno da producao industrial chinesa provoca queda nos precos de insumos e eleva expectativas de crescimento global.;2023-02-18;Nikkei;economia
Mediacao internacional previne crise diplomatica;Intervencao de potencia neutra consegue desescalar tensao entre dois paises vizinhos que haviam rompido relacoes bilaterais.;2023-02-10;AFP;diplomacia
Misseis atingem infraestrutura de energia civil;Ataques sistemicos contra usinas e linhas de transmissao deixam cidades sem eletricidade em pleno inverno gerando crise humanitaria.;2023-02-03;BBC;conflito
Petroleo recua apos dados de demanda fraca na China;Barril de Brent cai 3% com mercado receoso de que desaceleracao economica chinesa afete consumo global de energia.;2023-02-01;Reuters;economia
FMI projeta crescimento moderado para economia global;Fundo revisou para cima projecoes de 2023 para 2.9% citando resiliencia dos mercados emergentes e queda gradual da inflacao.;2023-01-20;FMI;economia
Reuniao bilateral busca normalizacao das relacoes;Chefes de Estado de dois paises com historico de tensoes se encontram pela primeira vez em cinco anos em busca de novo entendimento.;2023-01-18;AFP;diplomacia
Dolar sobe diante de incertezas geopoliticas globais;Moeda americana se valoriza como ativo de refugio enquanto investidores avaliam cenario de conflitos e desaceleracao economica.;2023-01-15;Bloomberg;economia
Acordo ambiental assinado por cinquenta paises;Convencao internacional estabelece metas de reducao de plastico nos oceanos e cria fundo de compensacao para nacoes vulneraveis.;2023-01-12;ONU News;diplomacia
Combates em fronteira africana elevam alerta regional;Escaramucas entre exercitos de dois paises vizinhos deixam mortos e deslocam populacoes. Uniao Africana convoca reuniao de emergencia.;2023-01-08;Reuters;conflito
